derived_filename,source_filename,source_hash,operation,timestamp_created,operator
T00-01-22_opening_contact_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-01-34_improper_turn_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-01-34_improper_turn_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-01-54_marijuana_question_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-01-54_marijuana_question_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-01-58_odor_statement_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-01-58_odor_statement_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-02-43_firearm_in_vehicle_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-02-43_firearm_in_vehicle_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-03-07_exit_order_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-03-07_exit_order_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-03-17_search_pc_marijuana_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-03-17_search_pc_marijuana_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-05-06_search_for_marijuana_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-05-06_search_for_marijuana_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-05-13_driver_little_marijuana_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-05-13_driver_little_marijuana_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-05-30_cbd_shop_question_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-05-30_cbd_shop_question_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
T00-05-34_cupholder_concentrate_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_clean.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_clean,2026-08-13T16:47:54Z,ib-mac
T00-05-34_cupholder_concentrate_Axon_Body_4_Video_2026-04-30_0153_D01AQ340U_burned.png,Axon_Body_4_Video_2026-04-30_0153_D01AQ340U.mp4,cacebb5f1f2fc128d2807e3244512da8033a8221c0986b4bf5591bd24e40b30d,frame_burned_pillow_file_elapsed,2026-08-13T16:47:54Z,ib-mac
